2025-02-26 17:04:17.454 [main] INFO  com.rs.mv.mvvs.Startup - [LSP:100101]ROCKET MV BASIC EXTENSION to start
2025-02-26 17:04:17.521 [main] INFO  com.rs.mv.mvvs.lsp.server.BasicLanguageServerLauncher - [LSP:100102]start pip server
2025-02-26 17:04:17.993 [main] INFO  com.rs.mv.mvvs.lsp.server.BasicLanguageServerLauncher - [LSP:100103]ROCKET MV BASIC EXTENSION start successful
2025-02-26 17:04:18.124 [pool-3-thread-1] INFO  com.rs.mv.mvvs.instance.workspace.WorkspaceManager - [workspace:200101]load all workspace folders start
2025-02-26 17:04:18.125 [pool-3-thread-1] INFO  com.rs.mv.mvvs.instance.workspace.WorkspaceManager - [workspace:20010201]root uri: file:///c%3A/Users/muham/OneDrive/Desktop/UNBC%20work/2025%20Winter%20Semester/%28499%29Social%20Robotics/Maze-Game
2025-02-26 17:04:18.127 [pool-3-thread-1] INFO  com.rs.mv.mvvs.instance.workspace.handler.FolderHandler - [workspace:200103]workspace contains workspace folder: file:///c%3A/Users/muham/OneDrive/Desktop/UNBC%20work/2025%20Winter%20Semester/%28499%29Social%20Robotics/Maze-Game
2025-02-26 17:04:18.157 [pool-3-thread-1] INFO  com.rs.mv.mvvs.instance.workspace.handler.FolderHandler - [workspace:200104]workspace folder will be cached: file:///c%3A/Users/muham/OneDrive/Desktop/UNBC%20work/2025%20Winter%20Semester/%28499%29Social%20Robotics/Maze-Game
2025-02-26 17:04:18.160 [pool-3-thread-1] INFO  com.rs.mv.mvvs.rmv.config.Config - [framework:30010101]config load start
2025-02-26 17:04:18.161 [pool-3-thread-1] INFO  com.rs.mv.mvvs.rmv.config.Config - [framework:30010102]project config path is : C:/Users/muham/OneDrive/Desktop/UNBC work/2025 Winter Semester/(499)Social Robotics/Maze-Game/.rmv/config
2025-02-26 17:04:18.161 [pool-3-thread-1] INFO  com.rs.mv.mvvs.rmv.config.Config - [framework:30010103]resource config path is : /
2025-02-26 17:04:18.162 [pool-3-thread-1] INFO  com.rs.mv.mvvs.rmv.config.Config - [framework:30010104]user config path is : C:/Users/muham
2025-02-26 17:04:18.192 [pool-3-thread-1] INFO  com.rs.mv.mvvs.rmv.config.Config - [framework:30010105]config load end
2025-02-26 17:04:18.195 [pool-3-thread-1] INFO  com.rs.mv.mvvs.rmv.documentation.BasicDocumentation - [framework:30020101]documentation load start
2025-02-26 17:04:18.198 [pool-3-thread-1] INFO  com.rs.mv.mvvs.rmv.documentation.reader.SystemDocReader - [framework:30020102]system documentation path: /documentation/UNIVERSE/
2025-02-26 17:04:18.205 [pool-3-thread-1] INFO  com.rs.mv.mvvs.rmv.documentation.reader.ProjectDocReader - [framework:30020103]project documentation brief file: C:\Users\muham\OneDrive\Desktop\UNBC work\2025 Winter Semester\(499)Social Robotics\Maze-Game\.rmv\documentation\UNIVERSE\custom.json
2025-02-26 17:04:18.207 [pool-3-thread-1] INFO  com.rs.mv.mvvs.rmv.documentation.reader.UserDocReader - [framework:30020104]user documentation brief file: C:\Users\muham\documentation\UNIVERSE\custom.json
